tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
119,California Cup,106,Parsons David,48,Calendar Hugo,36,41,f5d6c3d3c4f4f6f3e6b4c6b3e3d2e2f2e1d1c5b6c1d7b5c7c2a5a3e7f7g4g6g5a4a2d8c8e8g8b8h6f1b2g3h3a1b1a6g2h1g1h2h4h5h7g7a7h8f8a8b7
119,California Cup,106,Parsons David,136,Mine Tatsuya,16,27,f5d6c3d3c4f4f6g5e6c5f3e3g4f7g6g3e7h4c7b4e2f2c2f1a4a3a5a6b6d2d1e1c1b1c6b5b2a7b3b7h2c8f8h5h3h1h6g7h8h7g1g2a1g8b8d8d7e8a8a2
119,California Cup,136,Mine Tatsuya,48,Calendar Hugo,49,36,f5d6c4d3c3f4f6f3e6e7d7c5c6g6g5f7e8g4d2c8c7b8h6h5f8b6b5a5e3h4h3f2e2g3b4g2g1f1h1h2a4a3a6c1b3c2d8g8a2a7a8b7d1b1e1b2a1h7h8g7
119,California Cup,136,Mine Tatsuya,106,Parsons David,29,34,f5d6c4d3c3f4f6f3e6e7d7g6g5f7e8c5c6h6d2c8c7b6b5e3b4a4h4d8f8h5b8h3g4g3a6e2a5a3b3c1a2c2b2b7e1d1b1f2g1f1g2a1a8h1h7a7h2h8g8g7
119,California Cup,106,Parsons David,136,Mine Tatsuya,34,39,f5d6c4d3c3f4f6g5e6d7f7e7g3f3e3c5g4e2g6d2c2b5d1c1c6c7e8f1b1h4h5h6d8c8b8g8b6a6b7f2a4a5h3a3h7g7b4b3h8f8b2g2g1h2h1a8e1a7a2a1
119,California Cup,48,Calendar Hugo,83,Mine Atsuko,27,27,f5d6c4d3c5f4e3f3c2c6e6d2g4b6b5g3d1f6c7a5a4a3e7f7f2e2e1f1d7c1b4b1g6c3f8a6b3g5b2b7h4e8c8d8b8h3h5g2h1a8g1h6h2a1a2a7g7g8h7h8
119,California Cup,48,Calendar Hugo,136,Mine Tatsuya,16,26,f5d6c4d3c5f4e3f3c2c6e6d2g4b6b5g3d1e7f6g6g5h3h4e2h2h6f1a5d7b4b3c3c7a3f7c8a6d8e8f8f2c1a4e1b1a7b8a8b2b7h5a1a2h1h7g1g7g2g8h8
119,California Cup,48,Calendar Hugo,136,Mine Tatsuya,21,25,f5d6c4d3c5f4e3f3c2c6e6d2g4b6b5g3c7a5f2d7c3f6d8b4e7c8a6e8a3a4b3c1e1f8f7d1e2g8h3g5b7b2h5a2g6a8a1b1b8a7h8g7h6g2f1h1g1h7h4h2
119,California Cup,48,Calendar Hugo,106,Parsons David,54,34,f5d6c4d3c5f4e3f3c2c6e6d2c7e7f7f6g5b3c3g4e1b4d8e8g6f8d7e2b5a6a5a3f1a4f2h4g8c8b8c1d1h7b1b7a8b6a7g1h1b2a2g7h3h2a1h5h6g3h8g2
119,California Cup,136,Mine Tatsuya,106,Parsons David,20,25,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2e7f2e2f1c8f3c7h3b6g4c1g6e1a6h6h5b5b3c2b4h7g8e8h8g7f8a3d8b8a8a7d1g1b7a4a5h2h1g2b1h4b2a2a1
119,California Cup,136,Mine Tatsuya,48,Calendar Hugo,54,37,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2e7f2e2f1c8f3c7d8e8h3b6b5a5h6e1g4g6f8g8a4a3a7c1h7g1g7h5h4h8d1g2h1h2b1b4b3a6a2c2b7b8a8b2a1
119,California Cup,106,Parsons David,136,Mine Tatsuya,49,32,f5f6e6f4g5e7f7h5e3d3g4h4f3g6h3h2c4e8h7g3c2d6d7c3d2b4c5c8d8c6a5d1e1f1c7f8e2b3b5c1f2a4a6b6b7g1a3a2a1b2b8g2b1a8a7h6h1g7g8
126,Cambridge Christmas,596,Carpenter Adelaide,134,Haugland Jan Kristi,2,24,f5d6c3d3e3f3c5c4b3f2f4e6f6c6e2g3f7e7e8b6d7c7b4b5a5d8a6g4g5h6f1f8d2g6h5h4c8c1e1c2b2b1h2a1a2b8g7g8h3h7h8g2h1g1a3a4b7a7d1
126,Cambridge Christmas,134,Haugland Jan Kristi,40,de Grey Aubrey,57,37,f5d6c3d3c4b3c6b6d7e8c2d2a4f6e3c1e6c5b4a5g6a3c8f7c7e7d8b8f8g8b5g5a6a7d1h5h6h7g4f4b1b2f3h4g3e2h3h2e1f1a1a2f2g1a8b7h1g2h8g7
126,Cambridge Christmas,134,Haugland Jan Kristi,20,Brightwell Graham,26,36,f5d6c3d3c4f4c5b3c2e6c6b4b5d2e3a6c1b6f3f6f7e1e2f2e7f1d1b1a4g4a5a3h4d7d8g5g3e8c8c7f8g6g2g7h8g8h5h1g1h2a1h3a2b2b7a7a8b8h7h6
126,Cambridge Christmas,5,Shaman David,37,Johnson Greg,42,26,f5d6c3d3c4f4c5b3e2e3d2b4f3e6c6f6b5g5c2g4d7f2g3c1d1e1a3h4e7b1h3g6f7h2h7h5g2f8f1b2g7h8a1h6a2b6g8c7a6g1h1a4a5a7a8c8d8b7b8e8
126,Cambridge Christmas,40,de Grey Aubrey,596,Carpenter Adelaide,54,57,f5d6c3d3c4f4e6b3c2e3d2d1c5e7e2b5a6b4a3e1f6g4f2b6f1f3c1g5a4b2b1g2a5a1a2g1a7a8b7b8c8c7c6e8f8g8f7g6g7h8h7h4h5h6g3h1h2h3d7d8
126,Cambridge Christmas,40,de Grey Aubrey,37,Johnson Greg,16,9,f5d6c3d3c4f4e6b3c2e3d2b4c5c6d7b6g3g4e2f3b5f1h3h5h4h2d1f2a5e1g1g5a6a4a3b1h6h7g2b2a1c1g6f6f7a2g7h8g8h1e7f8e8d8c8b8c7b7a7a8
126,Cambridge Christmas,5,Shaman David,20,Brightwell Graham,33,30,f5d6c3d3c4f4f6f3e6e7c6g6g5f7g3h4g4e3h6c5f2c7f8h3h5h7d7b5b3b4e2d2c2a3a6a5b2e8g7h8d8a1g2h1g1a7a4a2a8b6b7b1d1c1e1f1h2b8c8g8
126,Cambridge Christmas,134,Haugland Jan Kristi,5,Shaman David,25,24,f5d6c3d3c4f4f6f3e6e7d7g6d8c5c6c7c8f7g8b6a5b5b4c2g5a6a7a4a3b3e2e3a2b7d2h5g4g3h6h7h2f8e8h4a8b2b1c1d1a1f2b8h3h1g7g2f1h8e1g1
126,Cambridge Christmas,91,Cagley Leslie,134,Haugland Jan Kristi,10,18,f5d6c3d3c4f4f6f3e6e7f7c5b6g6e3e2g4g5c6h5h4d2c2f8e8d8h6h3h2g3c7d7c8b8c1f2e1b5g2h1g1a5a6a4a3b4b7a8f1a7b3d1g8h7g7h8b1b2a2a1
126,Cambridge Christmas,91,Cagley Leslie,196,Summers David,29,33,f5d6c3d3c4f4f6g5f3e3e6c5g4f7e7f8g6g3b6b4d8h4e2c2f2h5h6h7b5c6a4a3c1a5a6a7b3d7h2a2c7d2e8g7d1h3g8h1h8g1f1e1b2b8g2c8a8b7a1b1
126,Cambridge Christmas,20,Brightwell Graham,196,Summers David,46,52,f5d6c3d3c4f4f6g5e6c5f3f7e7f8d8b5e3g6h5d2d7h4h3g4c2e2g3f2h6c8e8g2h1h2g1b3f1g8h8h7g7e1c1d1b8b1a1a2a3b2b4a4c6a6a5b6c7a7a8b7
126,Cambridge Christmas,5,Shaman David,40,de Grey Aubrey,44,43,f5d6c4d3e6f4e3f3c3b3c6b4g3h3e2f2g4h4f1d1c5d2e1g6f6g1b2c2c1b5a6g2h1c7d7a1h2f7b1g5h5a2a3a4e7d8a5f8h6a7b8c8b7a8b6g7e8g8h8h7
126,Cambridge Christmas,20,Brightwell Graham,596,Carpenter Adelaide,54,56,f5d6c5f4e3d3e6f3c6b5b4b6c4d7c3a4b3g5f6d2c2c1a5a6a3a2e7c7d8c8f7g6g4h4b8f8e1e2g7g8h8h7e8b2a1b1a7b7f1d1a8g1h1f2g2h6h5h2g3h3
126,Cambridge Christmas,168,Arnold Roy,596,Carpenter Adelaide,45,36,f5d6c5f4e3d3e6g5c4c3d2e2f6d1g4f3h5b6b5g3c6d7e7h6h4h3f7f8g6e8d8c8c7b3a6b4c2a4a3a5b2c1b1a1a2h7g7h8g8a7a8b8b7f2e1g1g2h1h2f1
126,Cambridge Christmas,20,Brightwell Graham,40,de Grey Aubrey,38,37,f5d6c5f4e3c6d3f6e6d7g3c4b4b3g5c3b5a5a4a3b6c7f7d2e2f3e7g6g4d8h5h6f8h4a6a7c8e8h3b7a8b8a2h2f2e1g8h8h7g7g1b2h1g2f1c2a1b1c1d1
126,Cambridge Christmas,37,Johnson Greg,196,Summers David,42,32,f5d6c5f4e3c6d3f6e6d7g4g3g5h3g6h6f7b4h4e8f8h5c4e7b5a4a3f3a5g8g7e2b6c7e1d2c3f1g1a7c2b3b2c1a6b7a8h8d8a1f2g2h1h2a2c8b8h7d1b1
126,Cambridge Christmas,196,Summers David,40,de Grey Aubrey,21,33,f5d6c5f4e3c6d3f6e6d7g4c4g5c3f7d2e7f2c8f3c7d8e8g3f1e1h3h5e2g6d1c1b1h4g1c2h6g7h2g8b3b4a5a3b6b5a4a6h8h7f8h1b7a1g2b2a2a7b8a8
126,Cambridge Christmas,168,Arnold Roy,134,Haugland Jan Kristi,29,23,f5d6c5f4e3c6d3f6e6d7e7c7c4f3b6b5b4e2g4g5f2c2c3d2g6h3f1e1d1c1b1h5e8c8f7d8f8g8g7b3a4h8h7h6g3h2h4a6a5g1h1g2a7a3a2b7a8b8b2a1
126,Cambridge Christmas,168,Arnold Roy,20,Brightwell Graham,10,12,f5d6c5f4e3c6d3f6e6d7e7c7b6f3g4c4b3g3g5f8e2d2c3f7b5a5c2a4d8c8b8e8g8b4a7a6a3f2h3g2e1g1f1h1h2d1c1b1b2h6g6h7h5h4g7h8b7a8a2a1
126,Cambridge Christmas,22,Leader Imre,5,Shaman David,6,31,f5d6c5f4e3c6e6f7d7c7f6e7e8f8g8g6d8b4b5c8b8c3c4g5g4f3h4h6e2g3c2f2f1d3d2d1g2a5b6h1h5h3a6c1a4e1b1b7g1h2a7a1b2a8b3a3a2g7h7h8
126,Cambridge Christmas,22,Leader Imre,37,Johnson Greg,40,33,f5f6e6f4e3c5c4e2b5e7f2d2g5g4g3f3d3h3h4c2c3d6c6h6h5g6c7d7d1f1f8e8g2g1c1g8e1b8h1h2f7b6a6b4a3b3a2g7d8a5a4c8h8h7a8a7b2a1b1b7
126,Cambridge Christmas,596,Carpenter Adelaide,91,Cagley Leslie,36,26,f5f6e6f4e3c5c4d6e7d3c3d7f7c6d8c7b4b5a4b6c8e2a5a3a2b3g6a7g5f8g4f3f2d2d1g3h3c2c1e1f1h4h5h6h7g2h1h2g1h8b7b2e8a6a8b8g7g8b1a1
126,Cambridge Christmas,596,Carpenter Adelaide,37,Johnson Greg,20,13,f5f6e6f4e3c5c4e7g6g5e8d7f7d6f3g4h6g3h5h4h3b3b6c3c2b5a3b4a4d3a5d2d8c6d1c7c8e2e1b7f2g2a6a8b8f8h1a7h2b2c1a2g7h7g8h8a1b1f1g1
126,Cambridge Christmas,168,Arnold Roy,5,Shaman David,4,15,f5f6e6f4e3d7f7d3c5e7g4g3g5f8e8d8g6h5h6h7c8b8g7e2f2e1d2f3h3c4c3c1d1c2b3a3b2g8a4b4c6a1b1a5b5d6g2f1c7a2g1h1h2b7h8h4a7a8a6b6
126,Cambridge Christmas,20,Brightwell Graham,22,Leader Imre,38,32,f5f6e6f4g5d6e7g4f3h5h6h7e3d3h3f7c4f8c5g6c7f2c3g3g2b4h2c6e8c2b3d7d8e2b6d2b5h4h8h1g8g7g1f1e1a5a4a6d1b8a7c1c8a2a8b7a3b2b1a1
126,Cambridge Christmas,196,Summers David,22,Leader Imre,18,15,f5f6e6f4g5d6f7g4f3h5h6h7c3c4e7d7e3d3c6g6b3c5d8b4b6b5a5a4h3c7d2a6a3a2b8c8h4h2g7g8a7a8b7h8f8e8b2f2g3e2f1b1a1c1d1c2g2h1g1e1
126,Cambridge Christmas,196,Summers David,5,Shaman David,17,23,f5f6e6f4g5g6g4e7f7h5e8h4c3f8g8d7f3d8c8d6c7c6b5g3c5b6h2d3e3a4h7c4b4b3a2f2a6d2c2a5a3h6h3e2g7b8a8h8c1d1e1h1b7a7g1g2f1b1b2a1
126,Cambridge Christmas,22,Leader Imre,168,Arnold Roy,58,60,f5f6e6f4g5e7f7c5f3g6g4h5d6e3g3f2h6f8h4h2d8e8g8d7c8c7b6a7c6g7h3h7b5a5a6b8a8b7b4c4c3d2f1g2d3e2h8c2a4h1g1e1c1d1b2a1a2b1b3a3
126,Cambridge Christmas,22,Leader Imre,91,Cagley Leslie,19,24,f5f6e6f4g5e7f7h5g4g6e3f3h3c5h6h4g3d2d6f2d8c7c6d7b4f8b6b8g7h8g8e8c8h7a8h2d3c2e2e1c3a3c4b7a4b3a2a5a7a1d1b1f1b2g2c1b5a6g1h1
