tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
66,Birches Open,177,Matsumoto Julia,116,Smirnov Boris,47,44,f5d6c3d3c4f4c5b3c2d1a3g6f3b4a5c6e3e2g3g4g5h3f2f6h4h5d2h2c1b1b5a4b6b7a6f1c7e1e7c8d7e8h7d8e6g7a8b8f8a7f7h8h6g8h1a2a1g1g2b2
66,Birches Open,45,Stepanov Oleg,116,Smirnov Boris,43,38,f5d6c3d3c4f4c5b3c2e6c6b4b5g4g3f3e3f2d7e2f1h3h4e1d2g5h6h5d1h7f7c8e7c7d8a6g1c1b1b6g6f6b8b2a4a3g2a5a1a2b7e8g7h1h2g8a7a8f8h8
66,Birches Open,53,Svirskiy Dmitriy,58,Melnikov Aleksandr,30,30,f5d6c3d3c4f4c5b3c2e6c6b4b6d2d7g5e3f6e7b5g3c7g4g6f7f3h4h6a5a4c8h5h3a6h7d1a2e8f8d8g7h8g8a3a7b7e2e1f2f1c1b1g2h1g1h2a1b2b8a8
66,Birches Open,45,Stepanov Oleg,472,Denisov Igor,46,36,f5d6c3d3c4f4c5b4b5c6f3e6e3c2b6a5e7f7f6g4g5h5h6h7h3g6f8c7a6a7c8d7a3b3d2e8d8g7h8g8h4b7c1e1d1f2e2g3h2b2f1g1h1g2b1b8a8a1a2a4
66,Birches Open,177,Matsumoto Julia,472,Denisov Igor,13,27,f5d6c3d3c4f4c5b4b5c6f3e6e3g5g6g4b6a5d7e7h4h3h2g3f2d8a4a6a7a3a2b3c2f1c7e2d2c8f8f7e8g8h5c1d1e1b2a1b1f6b7h6g2a8h7b8g7h8g1h1
66,Birches Open,53,Svirskiy Dmitriy,87,Salkov Sergei,52,30,f5d6c3d3c4f4c5b4b5c6f3e6e3g6f6g5d7g3h5g4b6a5f7f2h4e7d2c8e2h3a6h6e8a7c7b8f1g8a3c1d1c2b3e1b1b2g2g1f8d8h1h2a2g7h7a4a8h8a1b7
66,Birches Open,131,Poljakov Vladimir,45,Stepanov Oleg,15,27,f5d6c3d3c4f4c5b4b5c6f3e6e3g6f6g5d7g3h5g4e7f7a5a3b6f2h4h3h6e8e2c8d8h7g1a4c7a6f8g8b7d1a7e1g2a8b3b8g7d2b2c2f1h8b1c1a2h2h1a1
66,Birches Open,53,Svirskiy Dmitriy,87,Salkov Sergei,28,26,f5d6c3d3c4f4c5b4b5c6f3e6e3g6f6g5d7g3h5h6h4g4h7c2f2c7e7e2e1d2h3a4d1c1b6a5c8f1a6g7a3b3g1h1h8e8d8f8a2b2a1b1f7b8b7g8a8a7g2h2
66,Birches Open,177,Matsumoto Julia,45,Stepanov Oleg,11,25,f5d6c3d3c4f4c5b4b5c6f3e6e3g6f6g5d7g3b6e2d2f7h5h6g4e7c7a5d1f2h3c1c2f1b1b3f8e1g1h4h7a6b2e8d8b8a2a3c8g8a4a1b7h1g7a7g2h2a8h8
66,Birches Open,53,Svirskiy Dmitriy,472,Denisov Igor,25,35,f5d6c3d3c4f4f6f3e6e7f7c5b6b5e3g6g5d2d8h5g3g4h4h6c7d7h7f8c2b4c8h2d1e1f1c1c6e8b1e2g8a6a3b7a4b2f2b3a1a2h3h8g7g1a5b8h1g2a8a7
66,Birches Open,87,Salkov Sergei,45,Stepanov Oleg,37,32,f5d6c3d3c4f4f6f3e6e7f7g6e3e2g5c5g4c6d2f2d8c1g3b3a3b4e1c2d7a4c7c8d1f1a5g1h5b5a2e8f8g8b2a1b1g2h1a6g7h8h7h6h4h3h2b6b7a8a7b8
66,Birches Open,98,Zhelezov Alex,116,Smirnov Boris,29,40,f5d6c4d3c5f4e3c3e6f3d2e1c6b4b5c2a4d7g4b3e7a6b6c7c8a3a2a7b8f8e8h4b2f7g6g8g7f6g5h5h8d8a5a1f2e2h7h6g3h3h2f1c1b7d1a8b1g2g1h1
66,Birches Open,116,Smirnov Boris,45,Stepanov Oleg,39,26,f5d6c4d3c5f4e3f3c2b4b3c3d2e2c6a3a5e6g5c1e1f1g1g6g3d1b1h5d7f2b5a4f7a6h6g4h4h3h2f6h7f8e8g7e7b6c7c8d8b7h8g8a7b2a1a2g2a8b8h1
66,Birches Open,98,Zhelezov Alex,58,Melnikov Aleksandr,13,18,f5d6c4d3c5f4e3f3c2b4b5d2d7c7e7f6b3c6b6c3c8a4a3a2e1a5g4h4g3e6a6a7h3g5f7g6b7h2g2e2d1d8e8g8f8g7h5h1f2h6b2b8h8a8h7f1g1a1b1c1
66,Birches Open,87,Salkov Sergei,472,Denisov Igor,54,44,f5d6c4d3c5f4e3c6e6f3c2e7f6b5f7g5g6f8e2h6g3b3g4c3h5c1d7c7a3a4b4a2a6e1f1h4f2g1h3d1h7b6d2g2g7g8h8b2b1e8d8c8b8a1b7h1h2a8a7a5
66,Birches Open,58,Melnikov Aleksandr,45,Stepanov Oleg,52,51,f5d6c4d3e6f4e3f6c5f3c2c6d7c8c7b6b5d2a5b3c3b4e8c1e2d1a3a4e7a6a7f8g8b8f7d8a8g7f1b2e1g1a1a2g4b7f2g6b1g2h1h2h3g3h4h5g5h6h7h8
66,Birches Open,66,Senchev Vitaliy,156,Kononov Jurij,38,37,f5d6c5f4e3c6d3f6e6d7g3c4b4b3g5c3b5a5a4a3b6h4h6f2f7a6e7f8c2g6h2c1h7g4f3d2f1g2d8e8c8e1c7b8d1g8b7a8a7h5h1h8g1g7b1e2b2a1a2h3
66,Birches Open,156,Kononov Jurij,87,Salkov Sergei,19,22,f5d6c5f4e3c6d3f6e6d7g3c4b4b3b6c3b5a6c7c8g5g4g6a3h3e7a4f7d2a5f8d8g8h5f3h6e8h8h4c2b8a8c1f2f1e2g2e1b2d1a7a2h7g7a1b1b7h1h2g1
66,Birches Open,156,Kononov Jurij,45,Stepanov Oleg,36,29,f5d6c5f4e3c6d3f6e6d7g3c4b4b3b6c3b5a6c7c8g5e7f8e8f7a3a4a5d8g8c2g6a7b2h7h4h6g4b7f2h2e2a1a8b8d2f3h3h5d1a2b1h8g7c1e1f1g1g2h1
