tournamentId,tournamentName,blackPlayerId,blackPlayerName,whitePlayerId,whitePlayerName,blackScore,blackTheoreticalScore,transcript
22,British Nationals,20,Brightwell Graham,25,Feinstein Joel,28,39,f5f6e6f4g5d6e7g4f3h5e3d3h3h4h6d7c4g6c3g2g3f2e2c5d2d1b6b5h1h2e1c1c2f7a6a5a4b4g1b3a3b2c8d8c7c6a1b8e8g8a8f8h8f1b1a2g7a7b7h7
22,British Nationals,20,Brightwell Graham,22,Leader Imre,38,39,f5f6e6f4g5d6e7g4f3h5e3d3h3h4h6d7c4g6c3f7h7g3c5e2d2c6e1b5h2f2f1b4f8g7c8d8b3c2a4a5b1a3h8g8e8g2b6c7b2a1a2c1d1g1h1b8a8b7a6a7
171,British Regionals,153,Barrass Iain,20,Brightwell Graham,9,32,f5d6c4d3c5f4d7f6d2c2e2c3b4b5c6b6e6e7a5a3b3c8d8e8a6e3f3c7f2d1g4e1f1g5h5g6g3h6c1a4a2h4f7h3f8g8g2h1b7b8h2g1a7a8h7b1b2a1h8g7
171,British Regionals,283,Wormley Mark,20,Brightwell Graham,32,32,f5d6c5f4e3c6e6f7d7c7f6e7e8f8g8g6g5b4b6h4a3c4b8a4a5a6b3c8d8a2b7f3g4d3b5h3e2a8a7h8g3g7h5f2a1d1f1e1c1h6h7b2g1g2c2c3d2b1h1h2
118,California Open,2177,Fussen Alvaro,136,Mine Tatsuya,13,17,f5d6c4g5f6f4e6d7e7g6f7e8g3c5h4h5h6f8g4d3c3e3c7c6c8d8b6b5e2a6b7c2d2d1a4a8b8a7c1f1f2b1g7h8g8e1f3a5b4g1g2h1b2h2h3a2a1a3h7b3
118,California Open,136,Mine Tatsuya,1727,Chang Stephanie,52,44,f5d6c3d3c4f4c5b5b4a3e3e2d2c1b3e6e1c6f6g4e7f8d7g5f3c8g3f2c7b8f1b6h4h5h6g6e8d8h3c2a4a5g1b2h7f7g7h8g2h2g8a1b1a7a6a8d1a2b7h1
118,California Open,136,Mine Tatsuya,449,Prime Tim,52,49,f5f6e6f4g5e7e3f3d3c4g3f2g6g4h4h2e2f1h3h5h6h7c2d2d6c7e1d1c1b1c6c5b6a7e8f7d7c3b8d8c8a5a6a8b7b5b4b3f8a4a3g7h8a2g2g1h1g8a1b2
118,California Open,1556,Gonsalves Laurence,136,Mine Tatsuya,2,1,f5d6c5f4d3e3f6e6d7c4c3c6b5d2d1e7d8g5f7b4a5e2h5c1b1c2g4b6c7a3b3a4e1a6a2b2a1f1f2g2g1h1h2f3g3h3b7b8h4a7e8f8h6c8g6a8g8g7h7
118,California Open,136,Mine Tatsuya,83,Mine Atsuko,50,46,f5d6c3d3c4f4c5b3c2b4e3e6c6f6a5a4b5a6d7c7e7e8b6d8g3d1c1a7e1g4f3f7h5f2e2f1d2b1g6g5h6b2a3h3h4h7b8h2a8b7c8a2a1g2f8g7g8g1h1h8
126,Cambridge Christmas,168,Arnold Roy,20,Brightwell Graham,3,9,f5d6c5f4e3c6d3f6d7e6g5b4b6d8a3a6c7b5c8b8a4c4b3e8f7c3d2c2a5a2b7h5c1a8g6g4h6a7e7f8h4e2g7g3f3f2f1h3e1d1b1a1g2g1h2h1b2g8h7h8
126,Cambridge Christmas,200,Hubbard Geoff,20,Brightwell Graham,22,36,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5h6d2e8d8g4e3c5b4e2f1c6c7b5a4b6a5a6g8a3b3b8g7c2h3h8a2c8a7h4f2g3c1b2h7h5g2g1b7a8h2a1h1b1d1e1
126,Cambridge Christmas,20,Brightwell Graham,40,de Grey Aubrey,37,41,f5d6c3d3c4b3c6b6d7e8c2d2c5b5b4a3e3e6c1e1a5a6a4f6d8c7f8e7f7f2f3g3d1g4f1e2c8g5g1f4g2a2b7b8a1b1b2g8a7h1g6h7a8g7h8h6h4h5h3h2
139,Champ. France Junior,1566,Nguyen David,1565,Ratonnat Corentin,29,44,f5f6e6f4e3c5g5h5d6d3g4h4f3g6c6d2g3e2e1f1g1f2h3h2b5c7c8d7d8a5b4b6e7c4a4a3f7a6b3c3h7f8e8b8g2g8b7h1d1h6c2c1b2a8a7h8a2a1b1g7
139,Champ. France Junior,1565,Ratonnat Corentin,1566,Nguyen David,48,62,f5d6c3f3f4d3c4g6e3d2e1f2f1c1e2g4h5h3c2e6g5b4g3d1b1b3a3h2a4a5a6c5h4h6b5g2g1b2a1a2f6e7h1b6h7g7h8g8f8c6f7e8d8a7a8d7c8b8c7b7
128,Championnat Clubs France,1206,Kashiwabara Takuji,1326,Lang Frederic,35,34,f5f6e6f4g7e7d6f7e3d3f3c4g4e2c6g5g3f2f8h8d7g6h5h6h4c7f1b5e1d2d1c5c3c1b1c2h7h3b3b4a4a5a6b6a7a2c8g2d8e8g8b7a8b8a3b2a1h2g1h1
128,Championnat Clubs France,1372,Basso Jean-Luc,1325,Michel Stephane,43,53,f5f6e6f4g6e7d6f7g5c5c6h4c4h5c3b5a6e3d3b4a3d2b3d7e1c1e2c2f3c7b6a5a4f1d1b2a1b1a2f2g3h3g4g2h2h1g1b7a7a8b8e8f8c8d8h6h7g7h8g8
128,Championnat Clubs France,1206,Kashiwabara Takuji,1320,Tesinsky Jakub,48,34,f5f6e6f4g6d6g4g5f3e3e2h4h3g3h5d2h2e1d3f2f1g1c1e7c4c2c5c3b3f7c7d7f8e8c6a3d8h7b2b4d1b5h1g2b1g7h8g8a6a5a4b6b7a1a2a7c8b8a8h6
